run,raw_z0,gauze_z0,delta
1,-0.205322265625,0.000732421875,0.2060546875
2,-0.197998046875,-0.003662109375,0.1943359375
3,-0.19921875,0.006103515625,0.205322265625
4,-0.197021484375,-0.00048828125,0.196533203125
5,-0.20068359375,-0.007568359375,0.193115234375
6,-0.200927734375,0.006103515625,0.20703125
7,-0.212158203125,-0.026123046875,0.18603515625
8,-0.219482421875,-0.014892578125,0.20458984375
9,-0.2080078125,-0.00927734375,0.19873046875
10,-0.1953125,0.003173828125,0.198486328125
11,-0.199462890625,-0.01513671875,0.184326171875
12,-0.19580078125,0.003662109375,0.199462890625
13,-0.20361328125,0.010986328125,0.214599609375
14,-0.191650390625,-0.01171875,0.179931640625
15,-0.193115234375,-0.010986328125,0.18212890625
16,-0.193603515625,-0.005126953125,0.1884765625
