run,raw_z0,gauze_z0,delta
1,0.374267578125,0.71826171875,0.343994140625
2,0.38232421875,0.717529296875,0.335205078125
3,0.356689453125,0.72802734375,0.371337890625
4,0.36279296875,0.712890625,0.35009765625
5,0.358154296875,0.720703125,0.362548828125
6,0.3486328125,0.720458984375,0.371826171875
7,0.365966796875,0.712890625,0.346923828125
8,0.349365234375,0.714111328125,0.36474609375
9,0.359375,0.732666015625,0.373291015625
10,0.372802734375,0.7197265625,0.346923828125
11,0.349609375,0.7216796875,0.3720703125
12,0.360107421875,0.7119140625,0.351806640625
13,0.35205078125,0.7109375,0.35888671875
14,0.35888671875,0.732666015625,0.373779296875
15,0.341064453125,0.725341796875,0.38427734375
16,0.357421875,0.712646484375,0.355224609375
