run,raw_z0,gauze_z0,delta
1,0.43017578125,0.68505859375,0.2548828125
2,0.420654296875,0.688720703125,0.26806640625
3,0.4296875,0.683837890625,0.254150390625
4,0.41845703125,0.6982421875,0.27978515625
5,0.421630859375,0.695068359375,0.2734375
6,0.4140625,0.6982421875,0.2841796875
7,0.425537109375,0.704345703125,0.27880859375
8,0.42041015625,0.693359375,0.27294921875
9,0.41845703125,0.683349609375,0.264892578125
10,0.429443359375,0.69482421875,0.265380859375
11,0.40185546875,0.698486328125,0.296630859375
12,0.40673828125,0.68359375,0.27685546875
13,0.41015625,0.689208984375,0.279052734375
14,0.39990234375,0.683837890625,0.283935546875
15,0.427001953125,0.699462890625,0.2724609375
16,0.421875,0.699951171875,0.278076171875
