run,raw_z0,gauze_z0,delta
1,0.79150390625,0.083984375,-0.70751953125
2,0.78662109375,0.10205078125,-0.6845703125
3,0.785888671875,0.10009765625,-0.685791015625
4,0.805908203125,0.072509765625,-0.7333984375
5,0.79248046875,0.09912109375,-0.693359375
6,0.788818359375,0.095947265625,-0.69287109375
7,0.78857421875,0.08447265625,-0.7041015625
8,0.7861328125,0.079345703125,-0.706787109375
9,0.79296875,0.083740234375,-0.709228515625
10,0.793212890625,0.076171875,-0.717041015625
11,0.800048828125,0.0947265625,-0.705322265625
12,0.786376953125,0.084716796875,-0.70166015625
13,0.784912109375,0.10693359375,-0.677978515625
14,0.790771484375,0.09716796875,-0.693603515625
15,0.77783203125,0.080078125,-0.69775390625
16,0.80419921875,0.0859375,-0.71826171875
