run,raw_z0,gauze_z0,delta
1,-0.0634765625,-0.041015625,0.0224609375
2,-0.075439453125,-0.032958984375,0.04248046875
3,-0.08642578125,-0.04296875,0.04345703125
4,-0.072998046875,-0.023681640625,0.04931640625
5,-0.076904296875,-0.046875,0.030029296875
6,-0.05810546875,-0.040771484375,0.017333984375
7,-0.06396484375,-0.04345703125,0.0205078125
8,-0.071044921875,-0.03173828125,0.039306640625
9,-0.08251953125,-0.037841796875,0.044677734375
10,-0.06591796875,-0.015625,0.05029296875
11,-0.068115234375,-0.037841796875,0.0302734375
12,-0.0732421875,-0.04150390625,0.03173828125
13,-0.082275390625,-0.04833984375,0.033935546875
14,-0.066162109375,-0.013916015625,0.05224609375
15,-0.07958984375,-0.030517578125,0.049072265625
16,-0.08740234375,-0.02880859375,0.05859375
