run,raw_z0,gauze_z0,delta
1,0.89306640625,0.34912109375,-0.5439453125
2,0.86962890625,0.29736328125,-0.572265625
3,0.873291015625,0.29931640625,-0.573974609375
4,0.881103515625,0.293212890625,-0.587890625
5,0.875,0.281494140625,-0.593505859375
6,0.867919921875,0.305419921875,-0.5625
7,0.873046875,0.309814453125,-0.563232421875
8,0.87841796875,0.275390625,-0.60302734375
9,0.86962890625,0.258544921875,-0.611083984375
10,0.870361328125,0.245849609375,-0.62451171875
11,0.86962890625,0.258544921875,-0.611083984375
12,0.858154296875,0.243896484375,-0.6142578125
13,0.857177734375,0.240966796875,-0.6162109375
14,0.865478515625,0.2451171875,-0.620361328125
15,0.8623046875,0.227783203125,-0.634521484375
16,0.868408203125,0.23779296875,-0.630615234375
