run,raw_z0,gauze_z0,delta
1,0.7099609375,-0.18115234375,-0.89111328125
2,0.7119140625,-0.174072265625,-0.885986328125
3,0.712158203125,-0.184814453125,-0.89697265625
4,0.704345703125,-0.17822265625,-0.882568359375
5,0.719970703125,-0.155517578125,-0.87548828125
6,0.698974609375,-0.167724609375,-0.86669921875
7,0.69873046875,-0.178955078125,-0.877685546875
8,0.70654296875,-0.177978515625,-0.884521484375
9,0.703857421875,-0.15869140625,-0.862548828125
10,0.700927734375,-0.16357421875,-0.864501953125
11,0.696044921875,-0.1708984375,-0.866943359375
12,0.713623046875,-0.191162109375,-0.90478515625
13,0.702392578125,-0.189208984375,-0.8916015625
14,0.708984375,-0.205322265625,-0.914306640625
15,0.718994140625,-0.173583984375,-0.892578125
16,0.70361328125,-0.167724609375,-0.871337890625
