run,raw_z0,gauze_z0,delta
1,-0.16552734375,-0.510009765625,-0.344482421875
2,-0.175537109375,-0.53125,-0.355712890625
3,-0.15234375,-0.509521484375,-0.357177734375
4,-0.15234375,-0.5234375,-0.37109375
5,-0.15625,-0.52685546875,-0.37060546875
6,-0.173828125,-0.4892578125,-0.3154296875
7,-0.173095703125,-0.519775390625,-0.3466796875
8,-0.15576171875,-0.50244140625,-0.3466796875
9,-0.155029296875,-0.494140625,-0.339111328125
10,-0.1787109375,-0.52099609375,-0.34228515625
11,-0.170166015625,-0.490966796875,-0.32080078125
12,-0.1572265625,-0.528076171875,-0.370849609375
13,-0.169677734375,-0.489990234375,-0.3203125
14,-0.156005859375,-0.492919921875,-0.3369140625
15,-0.17041015625,-0.5078125,-0.33740234375
16,-0.156494140625,-0.517578125,-0.361083984375
