run,raw_z0,gauze_z0,delta
1,-0.88232421875,-0.900146484375,-0.017822265625
2,-0.871826171875,-0.9072265625,-0.035400390625
3,-0.875732421875,-0.9677734375,-0.092041015625
4,-0.864013671875,-0.962646484375,-0.0986328125
5,-0.883056640625,-0.965087890625,-0.08203125
6,-0.885986328125,-0.965087890625,-0.0791015625
7,-0.865966796875,-0.963134765625,-0.09716796875
8,-0.87255859375,-0.96826171875,-0.095703125
9,-0.8759765625,-0.9619140625,-0.0859375
10,-0.862060546875,-0.96728515625,-0.105224609375
11,-0.875,-0.962890625,-0.087890625
12,-0.8779296875,-0.961669921875,-0.083740234375
13,-0.873779296875,-0.963623046875,-0.08984375
14,-0.87060546875,-0.965576171875,-0.094970703125
15,-0.862060546875,-0.959228515625,-0.09716796875
16,-0.873291015625,-0.961669921875,-0.08837890625
