run,raw_z0,gauze_z0,delta
1,-0.134765625,0.685302734375,0.820068359375
2,-0.12646484375,0.676513671875,0.802978515625
3,-0.14208984375,0.674072265625,0.816162109375
4,-0.126220703125,0.684326171875,0.810546875
5,-0.125,0.67333984375,0.79833984375
6,-0.163818359375,0.68115234375,0.844970703125
7,-0.136962890625,0.66943359375,0.806396484375
8,-0.10791015625,0.67578125,0.78369140625
9,-0.142333984375,0.666015625,0.808349609375
10,-0.143310546875,0.664794921875,0.80810546875
11,-0.111083984375,0.680419921875,0.79150390625
12,-0.13525390625,0.67626953125,0.8115234375
13,-0.121826171875,0.673828125,0.795654296875
14,-0.140625,0.67578125,0.81640625
15,-0.13232421875,0.65380859375,0.7861328125
16,-0.123291015625,0.674560546875,0.7978515625
