run,raw_z0,gauze_z0,delta
1,0.75244140625,0.985107421875,0.232666015625
2,0.748046875,0.98681640625,0.23876953125
3,0.74951171875,0.983642578125,0.234130859375
4,0.739501953125,0.980712890625,0.2412109375
5,0.751708984375,0.981201171875,0.2294921875
6,0.751953125,0.98486328125,0.23291015625
7,0.7490234375,0.98486328125,0.23583984375
8,0.7412109375,0.987060546875,0.245849609375
9,0.750732421875,0.98388671875,0.233154296875
10,0.74267578125,0.984619140625,0.241943359375
11,0.734130859375,0.9833984375,0.249267578125
12,0.748291015625,0.98681640625,0.238525390625
13,0.74072265625,0.983154296875,0.242431640625
14,0.752197265625,0.9833984375,0.231201171875
15,0.746826171875,0.984130859375,0.2373046875
16,0.75634765625,0.979736328125,0.223388671875
