run,raw_z0,gauze_z0,delta
1,0.30615234375,0.60205078125,0.2958984375
2,0.321044921875,0.561767578125,0.24072265625
3,0.30322265625,0.597412109375,0.294189453125
4,0.314208984375,0.591064453125,0.27685546875
5,0.329833984375,0.5908203125,0.260986328125
6,0.30712890625,0.59375,0.28662109375
7,0.303955078125,0.59765625,0.293701171875
8,0.317138671875,0.589599609375,0.2724609375
9,0.283203125,0.5927734375,0.3095703125
10,0.320068359375,0.593994140625,0.27392578125
11,0.32421875,0.583740234375,0.259521484375
12,0.32763671875,0.5830078125,0.25537109375
13,0.32177734375,0.592041015625,0.270263671875
14,0.338134765625,0.599365234375,0.26123046875
15,0.307861328125,0.578125,0.270263671875
16,0.300537109375,0.578857421875,0.2783203125
