run,raw_z0,gauze_z0,delta
1,-0.0927734375,0.132080078125,0.224853515625
2,-0.092041015625,0.1279296875,0.219970703125
3,-0.0869140625,0.12548828125,0.21240234375
4,-0.1298828125,0.131591796875,0.261474609375
5,-0.11328125,0.117919921875,0.231201171875
6,-0.101806640625,0.13623046875,0.238037109375
7,-0.09619140625,0.13916015625,0.2353515625
8,-0.09814453125,0.1328125,0.23095703125
9,-0.106201171875,0.139892578125,0.24609375
10,-0.11328125,0.1455078125,0.2587890625
11,-0.12548828125,0.138916015625,0.264404296875
12,-0.122802734375,0.1240234375,0.246826171875
13,-0.102783203125,0.129150390625,0.23193359375
14,-0.075439453125,0.11962890625,0.195068359375
15,-0.117431640625,0.15771484375,0.275146484375
16,-0.102294921875,0.125244140625,0.2275390625
