run,raw_z0,gauze_z0,delta
1,-0.1943359375,-0.589599609375,-0.395263671875
2,-0.197021484375,-0.5986328125,-0.401611328125
3,-0.181884765625,-0.60302734375,-0.421142578125
4,-0.1767578125,-0.59228515625,-0.41552734375
5,-0.186279296875,-0.5859375,-0.399658203125
6,-0.205322265625,-0.600341796875,-0.39501953125
7,-0.17578125,-0.605224609375,-0.429443359375
8,-0.188232421875,-0.5966796875,-0.408447265625
9,-0.191162109375,-0.6015625,-0.410400390625
10,-0.20166015625,-0.601318359375,-0.399658203125
11,-0.1826171875,-0.60986328125,-0.42724609375
12,-0.1962890625,-0.595703125,-0.3994140625
13,-0.20068359375,-0.60498046875,-0.404296875
14,-0.195556640625,-0.610107421875,-0.41455078125
15,-0.19482421875,-0.5966796875,-0.40185546875
16,-0.212158203125,-0.61328125,-0.401123046875
