run,raw_z0,gauze_z0,delta
1,0.857666015625,-0.17041015625,-1.028076171875
2,0.876220703125,-0.1552734375,-1.031494140625
3,0.86767578125,-0.169921875,-1.03759765625
4,0.86669921875,-0.170166015625,-1.036865234375
5,0.869140625,-0.174072265625,-1.043212890625
6,0.8681640625,-0.157470703125,-1.025634765625
7,0.86669921875,-0.156005859375,-1.022705078125
8,0.8671875,-0.179443359375,-1.046630859375
9,0.8671875,-0.16748046875,-1.03466796875
10,0.85791015625,-0.173583984375,-1.031494140625
11,0.8701171875,-0.1806640625,-1.05078125
12,0.868408203125,-0.1796875,-1.048095703125
13,0.856689453125,-0.17138671875,-1.028076171875
14,0.875244140625,-0.15625,-1.031494140625
15,0.8671875,-0.167724609375,-1.034912109375
16,0.86328125,-0.163330078125,-1.026611328125
